name,url,price,base_elevation_ft,peak_elevation_ft,vertical_drop_ft,slope_mi,state,skiable_acres,annual_snowfall,owner,Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Detach Triple,Double,Single,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,total_lifts,surface_lifts_only,latitude,longitude
Ascutney Mountain,https://www.skiresort.info/ski-resort/ascutney-mountain/,20.0,719,2520,1801,1.0,Vermont,26.0,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,Yes,43.4625511141721,-72.4672947870429
Aspen Highlands,https://www.skiresort.info/ski-resort/aspen-highlands/,264.0,8041,11677,3635,84.0,Colorado,1010.0,300,Aspen Skiing Company,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,6,No,39.1813983732029,-106.856105524982
Aspen Mountain,https://www.skiresort.info/ski-resort/aspen-mountain/,264.0,7946,11214,3268,64.0,Colorado,826.0,300,Aspen Skiing Company,0,1,0,0,0,0,0,2,1,0,1,3,0,0,0,0,0,0,8,No,39.1842152867587,-106.821690810338
Attitash Mountain Resort,https://www.skiresort.info/ski-resort/attitash-mountain-resort/,144.0,600,2349,1749,23.0,New Hampshire,311.0,120,Vail Resorts,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,1,8,No,44.0826692333144,-71.2294189159093
Ausblick Ski Club,https://www.skiresort.info/ski-resort/ausblick-sussex/,30.0,968,1148,180,1.0,Wisconsin,10.0,,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,No,43.1345002931069,-88.264657223581
Badger Mountain,https://www.skiresort.info/ski-resort/badger-mountain/,10.0,2999,3484,486,1.0,Washington,10.0,120,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,Yes,47.6126974760702,-120.129741684916
Badger Pass,https://www.skiresort.info/ski-resort/badger-pass/,69.0,7201,8005,804,6.0,California,90.0,300,Independent,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,4,No,37.662217217046,-119.66368957656
Bald Mountain,https://www.skiresort.info/ski-resort/bald-mountain/,25.0,3999,4800,801,6.0,Idaho,140.0,100,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,Yes,46.570582678996,-115.869627147372
Bear Creek Mountain Resort,https://www.skiresort.info/ski-resort/bear-creek-mountain-resort/,85.0,591,1099,509,6.0,Pennsylvania,86.0,30,Independent,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,5,No,40.4766121333448,-75.6257066495122
Bear Paw Ski Bowl,https://www.skiresort.info/ski-resort/bear-paw-ski-bowl/,25.0,4199,5279,1079,6.0,Montana,80.0,140,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,No,48.1643835073863,-109.670176989619
Bear Valley,https://www.skiresort.info/ski-resort/bear-valley/,169.0,6598,8497,1900,42.0,California,1680.0,359,Independent,0,0,0,0,0,1,0,1,1,2,0,2,0,0,0,0,0,2,9,No,38.4924084257156,-120.04436535711
Beartooth Basin,https://www.skiresort.info/ski-resort/beartooth-basin/,50.0,9898,10899,1001,3.0,Wyoming,600.0,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Yes,44.9760407102785,-109.435232900875
Beartown,https://www.skiresort.info/ski-resort/beartown/,24.0,863,997,135,0.5,New York,32.0,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,Yes,44.763714789627,-73.5842494720497
Beaver Creek,https://www.skiresort.info/ski-resort/beaver-creek/,329.0,7398,11444,4045,93.0,Colorado,2082.0,325,Vail Resorts,0,2,0,0,0,0,1,12,1,1,0,1,0,0,0,0,0,7,25,No,39.601397968372,-106.528719291705
Beaver Mountain,https://www.skiresort.info/ski-resort/beaver-mountain/,70.0,7201,8858,1657,19.0,Utah,880.0,400,Independent,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,6,No,41.9679154294829,-111.540667860691
Beech Mountain,https://www.skiresort.info/ski-resort/beech-mountain/,79.0,4672,5505,833,9.0,North Carolina,95.0,84,Independent,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,1,2,9,No,36.1946449807837,-81.8782671370259
Belleayre Mountain,https://www.skiresort.info/ski-resort/belleayre-mountain/,114.0,2024,3428,1404,12.0,New York,171.0,141,New York State,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,4,9,No,42.1409475000713,-74.5020555965859
Berkshire East,https://www.skiresort.info/ski-resort/berkshire-east/,99.0,659,1841,1181,8.0,Massachusetts,180.0,120,The Schaefer Family,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,2,6,No,42.6208879427655,-72.8768560536622
Big Bear at Masthope Mountain,https://www.skiresort.info/ski-resort/big-bear-at-masthope-mountain/,78.0,722,1286,564,4.0,Pennsylvania,26.0,50,Independent,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,7,No,41.5237095917575,-75.024579805837
Big Bear: Bear Mountain,https://www.skiresort.info/ski-resort/bear-mountain-big-bear-lake/,169.0,7139,8806,1667,17.0,California,198.0,100,Alterra,0,0,0,0,0,1,0,2,0,2,0,2,0,0,0,0,0,4,11,No,34.2279780828159,-116.86089636389
Big Bear: Snow Summit,https://www.skiresort.info/ski-resort/snow-summit-big-bear-lake/,169.0,6988,8202,1214,18.0,California,240.0,100,Alterra,0,0,0,0,0,0,0,2,2,2,0,4,0,0,0,0,0,5,15,No,34.2358206937449,-116.889253309291
Big Bear: Snow Valley,https://www.skiresort.info/ski-resort/snow-valley/,169.0,6726,7841,1115,21.0,California,240.0,160,Alterra,0,0,0,0,0,1,0,0,0,4,0,4,0,0,0,0,0,2,11,No,34.2245705198959,-117.035519019636
Big Boulder,https://www.skiresort.info/ski-resort/big-boulder/,105.0,1699,2175,476,3.0,Pennsylvania,55.0,50,Vail Resorts,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,5,No,41.0497914194315,-75.6006871876771
Big Moose,https://www.skiresort.info/ski-resort/big-squaw/,40.0,1325,1896,571,5.0,Maine,,136,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,No,45.5064963517218,-69.7018982148919
Big Powderhorn Mountain,https://www.skiresort.info/ski-resort/big-powderhorn-mountain/,89.0,1148,1772,623,6.0,Michigan,253.0,214,Independent,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,10,No,46.5090445551297,-90.0946769349822
Big Sky Resort,https://www.skiresort.info/ski-resort/big-sky-resort/,275.0,6801,11165,4364,155.0,Montana,5800.0,400,Boyne Resorts,1,2,0,0,2,2,0,4,3,9,0,4,0,0,0,3,1,8,39,No,45.2850349517533,-111.402136915504
BigRock Mountain,https://www.skiresort.info/ski-resort/bigrock-mountain/,60.0,656,1634,978,12.0,Maine,90.0,100,Independent,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,4,No,46.5219754018494,-67.8287422553209
Bittersweet,https://www.skiresort.info/ski-resort/bittersweet/,72.0,715,1063,348,4.0,Michigan,100.0,90,Wisconsin Resorts,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,2,3,11,No,42.4667711702261,-85.757892883055
Black Mountain – Jackson,https://www.skiresort.info/ski-resort/black-mountain-jackson/,99.0,1234,2247,1014,7.0,New Hampshire,143.0,125,Independent,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,5,No,44.1666742645383,-71.1643961519989
Black Mountain – Rumford,https://www.skiresort.info/ski-resort/black-mountain-rumford/,60.0,1001,2100,1099,9.0,Maine,300.0,120,Independent,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,4,No,44.5768679486146,-70.6134405916493
Blacktail Mountain,https://www.skiresort.info/ski-resort/blacktail-mountain/,80.0,5338,6778,1440,11.0,Montana,1000.0,250,Independent,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,4,No,48.0149080958699,-114.369770983142
Blue Hills,https://www.skiresort.info/ski-resort/blue-hills/,75.0,262,591,328,2.0,Massachusetts,60.0,,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,No,42.2155158957154,-71.1190765610771
Blue Knob,https://www.skiresort.info/ski-resort/blue-knob/,90.0,2080,3150,1070,10.0,Pennsylvania,100.0,120,Independent,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,5,No,40.288527305399,-78.5630545423995
Blue Mountain,https://www.skiresort.info/ski-resort/blue-mountain/,99.0,459,1542,1083,11.0,Pennsylvania,164.0,33,Independent,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,7,12,No,40.8106478458437,-75.5206597973621
Bluewood,https://www.skiresort.info/ski-resort/bluewood/,65.0,4544,5669,1125,7.0,Washington,355.0,300,Independent,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,4,No,46.0822970103602,-117.850866940001
Bogus Basin,https://www.skiresort.info/ski-resort/bogus-basin/,79.0,5797,7582,1785,31.0,Idaho,2600.0,250,Independent,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,3,10,No,43.7644278050647,-116.101973121779
Bolton Valley,https://www.skiresort.info/ski-resort/bolton-valley/,119.0,1447,3150,1703,19.0,Vermont,300.0,300,Independent,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,6,No,44.420850797586,-72.8508535743811
Boreal,https://www.skiresort.info/ski-resort/boreal/,119.0,7201,7733,531,12.0,California,380.0,400,Powdr,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,2,8,No,39.3357225439072,-120.350519961207
Boston Mills,https://www.skiresort.info/ski-resort/boston-mills/,88.0,656,886,230,1.0,Ohio,40.0,54,Vail Resorts,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,1,7,No,41.2650773714258,-81.564551864819
Bottineau Winter Park,https://www.skiresort.info/ski-resort/bottineau-winter-park/,45.0,2274,2448,174,1.0,North Dakota,40.0,18,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,6,No,48.9506456513199,-100.474577093826
Bousquet,https://www.skiresort.info/ski-resort/bousquet/,80.0,1109,1857,748,5.0,Massachusetts,200.0,83,Independent,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,No,42.4190828508367,-73.2771992181888
Boyce Park,https://www.skiresort.info/ski-resort/boyce-park/,25.0,1115,1247,131,1.0,Pennsylvania,25.0,36,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,No,40.4613808841664,-79.7471179674883
Boyne Mountain,https://www.skiresort.info/ski-resort/boyne-mountain/,110.0,620,1119,499,9.0,Michigan,435.0,140,Boyne Resorts,0,0,0,0,1,1,0,0,4,1,0,2,0,0,0,0,0,1,10,No,45.1626107136863,-84.9303885165529
Bradford,https://www.skiresort.info/ski-resort/bradford/,69.0,33,262,230,2.0,Massachusetts,48.0,,Independent,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,3,3,10,No,42.7444830187125,-71.0559975935861
Brandywine,https://www.skiresort.info/ski-resort/brandywine/,88.0,623,886,262,1.0,Ohio,40.0,54,Vail Resorts,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,1,7,No,41.2841089989265,-81.5520691820093
Brantling,https://www.skiresort.info/ski-resort/brantling/,34.0,459,689,230,1.0,New York,36.0,100,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,6,Yes,43.1493980673562,-77.065462440144
Breckenridge,https://www.skiresort.info/ski-resort/breckenridge/,299.0,9600,12841,3241,95.0,Colorado,2908.0,353,Vail Resorts,0,1,0,0,0,5,0,8,1,1,0,4,0,1,0,3,0,11,35,No,39.4803469507199,-106.06576639861
Bretton Woods,https://www.skiresort.info/ski-resort/bretton-woods/,129.0,1601,3100,1499,35.0,New Hampshire,464.0,200,Independent,0,1,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,2,9,No,44.2592312355739,-71.4606135125541
Brian Head,https://www.skiresort.info/ski-resort/brian-head/,97.0,9600,10919,1319,28.0,Utah,650.0,360,Mountain Capital Partners,0,0,0,0,0,0,0,2,0,5,0,1,0,0,0,0,0,2,10,No,37.7020031192772,-112.849999461276
Bridger Bowl,https://www.skiresort.info/ski-resort/bridger-bowl-bozeman/,97.0,6102,8799,2697,44.0,Montana,2000.0,300,Independent,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,1,0,2,11,No,45.8170869826085,-110.896564759054
Brighton,https://www.skiresort.info/ski-resort/brighton/,159.0,8750,10627,1877,41.0,Utah,1050.0,500,Boyne Resorts,0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,2,8,No,40.5983453073401,-111.583744867119
Bristol Mountain,https://www.skiresort.info/ski-resort/bristol-mountain/,90.0,997,2198,1201,12.0,New York,138.0,130,Independent,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,2,7,No,42.7450030256251,-77.4046326684485
Bromley Mountain,https://www.skiresort.info/ski-resort/bromley-mountain/,96.0,1949,3284,1335,28.0,Vermont,178.0,145,Independent,0,0,0,0,0,0,0,1,1,0,0,4,0,1,0,0,0,2,9,No,43.2136153886941,-72.9350896745236
Bruce Mound,https://www.skiresort.info/ski-resort/bruce-mound/,27.0,984,1312,328,3.0,Wisconsin,40.0,45,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,0,6,No,44.4461971176846,-90.7855479437797
Brundage Mountain,https://www.skiresort.info/ski-resort/brundage-mountain/,125.0,5840,7638,1798,19.0,Idaho,1920.0,320,Independent,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,6,No,45.004595879371,-116.154873443202
Bryce Resort,https://www.skiresort.info/ski-resort/bryce-resort/,80.0,1247,1749,502,3.0,Virginia,50.0,30,Independent,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,5,No,38.8170206847087,-78.7664647797194
Buck Hill,https://www.skiresort.info/ski-resort/buck-hill-ski-area/,59.0,951,1217,266,1.0,Minnesota,45.0,60,Independent,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,2,9,No,44.7245161906983,-93.2838130781488
Buena Vista,https://www.skiresort.info/ski-resort/buena-vista/,52.0,1312,1542,230,2.0,Minnesota,30.0,78,Independent,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,5,No,47.6575801557123,-94.8794756314242
Buffalo Ski Center,https://www.skiresort.info/ski-resort/buffalo/,57.0,1007,1483,476,7.0,New York,300.0,,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,6,No,42.6817834596537,-78.6912460695517
Burke Mountain,https://www.skiresort.info/ski-resort/burke-mountain/,89.0,1217,3199,1982,6.0,Vermont,178.0,217,Independent,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,5,No,44.5875679421193,-71.9162141707593
Buttermilk Mountain,https://www.skiresort.info/ski-resort/buttermilk-mountain/,264.0,7871,9902,2031,21.0,Colorado,435.0,200,Aspen Skiing Company,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,1,6,No,39.2047973615625,-106.859022975074
Butternut,https://www.skiresort.info/ski-resort/butternut/,85.0,820,1772,951,14.0,Massachusetts,110.0,110,Independent,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,9,No,42.1828719137424,-73.3200574015584
Caberfae Peaks,https://www.skiresort.info/ski-resort/caberfae-peaks/,79.0,1171,1532,361,7.0,Michigan,200.0,140,Independent,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,5,No,44.2445781127255,-85.720540316803
Camden Snow Bowl,https://www.skiresort.info/ski-resort/camden-snow-bowl/,52.0,236,1083,846,4.0,Maine,100.0,50,Independent,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,No,44.2166095605337,-69.1345024591333
Camelback,https://www.skiresort.info/ski-resort/camelback/,99.0,1247,2044,797,21.0,Pennsylvania,160.0,50,Independent,0,0,0,0,0,1,0,1,1,3,0,3,0,0,0,0,0,4,13,No,41.0511315901175,-75.3481292219498
Camp 10,https://www.skiresort.info/ski-resort/camp-10/,52.0,1509,1739,230,2.0,Wisconsin,120.0,60,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,4,No,45.5500994946087,-89.5038307965984
Campgaw Mountain,https://www.skiresort.info/ski-resort/campgaw-mountain/,65.0,469,712,243,1.0,New Jersey,23.0,45,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,5,No,41.0589197289547,-74.1951353648283
Campton Mountain,https://www.skiresort.info/ski-resort/campton-mountain/,40.0,1188,1427,240,1.0,New Hampshire,,,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,No,43.868154757864,-71.6097074395595
Canaan Valley,https://www.skiresort.info/ski-resort/canaan-valley/,90.0,3428,4278,850,6.0,West Virginia,95.0,160,Independent,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,6,No,39.0074914670958,-79.43806136362
Cannon Mountain,https://www.skiresort.info/ski-resort/cannon-mountain/,134.0,1965,4078,2113,31.0,New Hampshire,285.0,160,Independent,1,0,0,0,0,0,0,1,2,3,0,1,0,1,0,0,1,0,10,No,44.1771132551515,-71.7016955572861
Cannonsburg,https://www.skiresort.info/ski-resort/cannonsburg/,55.0,689,919,230,1.0,Michigan,100.0,100,Independent,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,4,1,8,No,43.0534982746022,-85.5015390819272
Cascade Mountain,https://www.skiresort.info/ski-resort/cascade-mountain/,99.0,820,1240,420,9.0,Wisconsin,176.0,80,Independent,0,0,0,0,0,0,0,2,3,1,0,2,0,0,0,0,1,1,10,No,43.5031174765504,-89.5180722948491
Cataloochee,https://www.skiresort.info/ski-resort/cataloochee/,86.0,4462,5194,732,4.0,North Carolina,50.0,24,Independent,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,5,No,35.5625691923737,-83.0902548179601
Catamount,https://www.skiresort.info/ski-resort/catamount/,105.0,902,1903,1001,9.0,New York,133.0,108,The Schaefer Family,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,3,8,No,42.1691236267811,-73.4774407875158
Chapman Hill,https://www.skiresort.info/ski-resort/chapman-hill-durango/,16.0,6568,6877,308,0.4,Colorado,7.0,71,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,Yes,37.2831302278055,-107.86855524965
Cherry Peak,https://www.skiresort.info/ski-resort/cherry-peak/,55.0,7382,8645,1263,12.0,Utah,400.0,320,Independent,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,4,No,41.9264359764878,-111.756877872185
Chester Bowl,https://www.skiresort.info/ski-resort/chester-bowl/,15.0,1083,1247,164,1.0,Minnesota,6.0,100,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,No,46.8132915091172,-92.0956478092792
Chestnut Mountain,https://www.skiresort.info/ski-resort/chestnut-mountain/,70.0,623,1099,476,4.0,Illinois,220.0,34,Independent,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,2,9,No,42.317755614171,-90.3942865298377
China Peak,https://www.skiresort.info/ski-resort/china-peak/,169.0,7044,8629,1585,31.0,California,1200.0,300,California Mountain Resort Company,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,0,0,4,11,No,37.2356010250206,-119.155097914595
Chipmunk Hills,https://www.skiresort.info/ski-resort/chipmunk/,5.0,6450,6752,302,0.3,Idaho,30.0,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes,44.4713558283973,-114.322116686657
Christie Mountain,https://www.skiresort.info/ski-resort/christie-mountain/,53.0,1312,1673,361,3.0,Wisconsin,45.0,60,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,5,No,45.5091626564987,-91.381230548605
Christmas Mountain,https://www.skiresort.info/ski-resort/christmas-mountain/,80.0,1017,1214,197,1.0,Wisconsin,40.0,40,Independent,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,No,43.6090472474722,-89.8598086658323
Cloudcroft,https://www.skiresort.info/ski-resort/cloudcroft/,65.0,8399,9098,699,6.0,New Mexico,74.0,120,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,No,32.9507846242142,-105.707296364764
Cloudmont,https://www.skiresort.info/ski-resort/cloudmont/,40.0,1650,1798,148,0.2,Alabama,9.0,6,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes,34.5350438872562,-85.6011419277421
Cochran,https://www.skiresort.info/ski-resort/cochran/,19.0,400,699,299,1.0,Vermont,15.0,150,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,Yes,44.395273403242,-72.9818795400841
Coffee Mill,https://www.skiresort.info/ski-resort/coffee-mill/,55.0,755,1181,427,1.0,Minnesota,40.0,48,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,No,44.36358039017,-92.0436122530289
Cooper Spur,https://www.skiresort.info/ski-resort/cooper-spur/,49.0,3999,4347,348,6.0,Oregon,50.0,100,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,No,45.4123878862393,-121.605333363129
Copper Mountain,https://www.skiresort.info/ski-resort/copper-mountain/,264.0,9711,12441,2730,78.0,Colorado,2465.0,305,Powdr,0,0,0,0,0,3,1,3,0,5,0,4,0,1,0,2,0,6,25,No,39.4997265764632,-106.156610464311
Coppervale,https://www.skiresort.info/ski-resort/coppervale/,40.0,5249,5988,738,2.0,California,80.0,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,Yes,40.3453440529268,-120.904121709562
Cottonwood Butte,https://www.skiresort.info/ski-resort/cottonwood-butte/,20.0,4757,5600,843,3.0,Idaho,260.0,45,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Yes,46.0755408149496,-116.452689033904
Cranmore Mountain Resort,https://www.skiresort.info/ski-resort/cranmore-mountain-resort/,119.0,876,1998,1122,27.0,New Hampshire,170.0,120,Independent,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,2,7,No,44.0568725463447,-71.1101185043782
Cranor Ski Hill,https://www.skiresort.info/ski-resort/cranor-ski-hill-gunnison/,22.0,7874,8189,315,1.0,Colorado,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Yes,38.586962261632,-106.895818247931
Crested Butte,https://www.skiresort.info/ski-resort/crested-butte/,179.0,9101,11877,2776,75.0,Colorado,1547.0,234,Vail Resorts,0,0,0,0,0,0,0,4,3,3,0,0,0,2,0,0,0,3,15,No,38.8989044753285,-106.965688145434
Crotched Mountain,https://www.skiresort.info/ski-resort/crotched-mountain/,94.0,1188,2067,879,5.0,New Hampshire,75.0,105,Vail Resorts,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,5,No,43.0117944096497,-71.8789622628888
Crystal Mountain (Michigan),https://www.skiresort.info/ski-resort/crystal-mountain-mi/,115.38,804,1178,374,3.0,Michigan,103.0,132,Independent,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,2,8,No,44.5198105230083,-85.9923169096196
Crystal Mountain (Washington),https://www.skiresort.info/ski-resort/crystal-mountain-wa/,199.0,4400,7011,2612,31.0,Washington,2600.0,466,Alterra,0,1,0,0,0,2,0,2,1,2,0,2,0,0,0,0,0,1,11,No,46.9354019219933,-121.474849805705
Crystal Ridge,https://www.skiresort.info/ski-resort/the-rock-snowpark/,70.0,702,932,230,1.0,Wisconsin,30.0,50,Schmitz Brothers,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,5,No,42.9200449360399,-88.0155669009846
Dartmouth Skiway,https://www.skiresort.info/ski-resort/dartmouth-skiway/,65.0,974,1942,968,10.0,New Hampshire,104.0,100,Independent,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,4,No,43.7878873851641,-72.09978476655
Deer Valley,https://www.skiresort.info/ski-resort/deer-valley/,299.0,6509,9570,3061,66.0,Utah,2026.0,300,Alterra,0,2,0,0,0,2,0,20,1,5,0,1,0,0,0,1,0,5,37,No,40.6371959568097,-111.478197937968
Detroit Mountain,https://www.skiresort.info/ski-resort/detroit-mountain/,52.0,1444,1608,164,1.0,Minnesota,45.0,47,Independent,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,6,No,46.8132100326255,-95.7837874701962
Devil’s Head,https://www.skiresort.info/ski-resort/devils-head/,95.0,492,994,502,6.0,Wisconsin,300.0,70,Independent,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,8,No,43.4185257775061,-89.6267086497673
Diamond Peak,https://www.skiresort.info/ski-resort/diamond-peak/,180.0,6699,8537,1837,10.0,Nevada,655.0,188,Independent,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,1,7,No,39.2537469292922,-119.923804332164
Discovery Ski Area,https://www.skiresort.info/ski-resort/discovery-ski-area/,65.0,5768,8150,2382,28.0,Montana,2200.0,215,Independent,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,1,8,No,46.2494550872273,-113.238454460882
Dodge Ridge,https://www.skiresort.info/ski-resort/dodge-ridge/,109.0,6598,8199,1601,31.0,California,862.0,300,California Mountain Resort Company,0,0,0,0,0,0,0,0,1,3,0,3,0,1,0,0,1,2,11,No,38.1896088238942,-119.956636379746
Donner Ski Ranch,https://www.skiresort.info/ski-resort/donner-ski-ranch/,99.0,7028,7779,751,32.0,California,460.0,396,Independent,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,7,No,39.3183704268204,-120.330170801418
Dry Hill,https://www.skiresort.info/ski-resort/dry-hill/,50.0,712,984,272,1.0,New York,42.0,125,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,No,43.9309944454555,-75.9015954266134
Dynamite Hill,https://www.skiresort.info/ski-resort/dynamite-hill-chestertown/,0.0,830,922,92,0.1,New York,8.0,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes,43.6590170168698,-73.7972756115119
Eagle Point,https://www.skiresort.info/ski-resort/eagle-point/,90.0,9098,10597,1499,12.0,Utah,650.0,400,Independent,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,5,No,38.3202765202732,-112.384067965442
Eaglecrest,https://www.skiresort.info/ski-resort/eaglecrest-juneau/,75.0,1148,2690,1542,11.0,Alaska,640.0,350,Independent,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,No,58.2744014134941,-134.512719943021
Echo Mountain – Idaho Springs,https://www.skiresort.info/ski-resort/echo-mountain-park-idaho-springs/,79.0,10499,11158,659,2.0,Colorado,60.0,150,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,No,39.684515618697,-105.519414261192
Echo Valley – Lake Chelan,https://www.skiresort.info/ski-resort/echo-valley-lake-chelan/,40.0,2618,3110,492,1.0,Washington,70.0,100,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,Yes,47.9357936901783,-120.05525877244
